,ROUGE-1,ROUGE-2,ROUGE-L,BERT-F1
Base Model,0.24385314184251564,0.14833664043242445,0.2061791060714806,0.8501241722349393
Fine-Tuned,0.5779171152288136,0.5088123228006975,0.5593942059996853,0.9204107371427245
